
2024/09/23 (16:00:51) | ===> btop++ v.1.4.0
2024/09/23 (16:00:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (16:14:08) | ===> btop++ v.1.4.0
2024/09/23 (16:14:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (16:15:09) | ===> btop++ v.1.4.0
2024/09/23 (16:15:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/23 (16:33:58) | ===> btop++ v.1.4.0
2024/09/23 (16:33:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (17:46:07) | ===> btop++ v.1.4.0
2024/11/10 (17:46:07) | WARNING: Intel GPU: Failed to initialize PMU
